titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
Paseo La Plaza,Performing arts theater,"Bar, Cultural center","Plays, concerts & comedy performances, plus a canopied patio with restaurants & a Beatles museum.",5491163205300,"Av. Corrientes 1660 C1042AAP, C1042 AAP, Cdad. Autónoma de Buenos Aires",AAP,C1042,Buenos Aires,AR,-34.6044559,-58.3902082,4.6,60038,http://www.paseolaplaza.com.ar/,www.paseolaplaza.com.ar,11026158680304479369,ChIJKVQlQ8HKvJURiWyjkObIBJk,True,close,https://lh5.googleusercontent.com/-WAWYgpkGosQ/AAAAAAAAAAI/AAAAAAAAAAA/MQSMHNkm_-I/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPOnGPrMmCM2denZTFwV2f97o9z4sf3w0SpW9x9=w408-h272-k-no,37228,,
Patio de los lecheros,Restaurant,"Bar, Family restaurant, Grocery store, Market","*SIN RESERVA
*Aceptamos débito, crédito y mercadopago.
*Pet Friendly

El patio de los lecheros solía ser una estación de tren, muy cercana a la actual ""Caballito"", a donde llegaba la leche proveniente del interior del país.

Cuando en 1961 se prohíbe la venta de leche sin proceso de pasteurización, estos trenes dejan de funcionar y el lugar cae en desuso durante muchos años.

En 2016 vuelve a abrir sus puertas, con una propuesta gastronómica llenas de opciones diferentes, espectáculos, arte y mas.",,"Donato Álvarez 185, Bacacay 1686, C1406 Buenos Aires",Buenos Aires,C1406,Buenos Aires,AR,-34.6233437,-58.454285,4.4,34470,https://www.instagram.com/elpatiodeloslecheros/,www.instagram.com,2881504577292147139,ChIJYWXAhyPKvJURwxkpbCUp_Sc,True,close,https://lh4.googleusercontent.com/-pDP0ausjiX0/AAAAAAAAAAI/AAAAAAAAAAA/PV2ZwTCoVbM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOplGYp5rCfl2bAcZrYC4_Qlrd-Up3N-zTYJOQu=w427-h240-k-no,41701,moderate,
MALLOY´S,Restaurant,Bar,,,"Sebastián Elcano 1723, B1640 Martínez, Provincia de Buenos Aires",Martínez,,Buenos Aires Province,AR,-34.478660399999995,-58.483289,4.2,26730,https://instagram.com/malloysbardecosta,instagram.com,3144358837004283193,ChIJRafGHJmxvJUROS0A5rMBoys,True,close,https://lh3.googleusercontent.com/-9jgndpASKws/AAAAAAAAAAI/AAAAAAAAAAA/LgJvsKLR320/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOaWqo1VosEJfkYI8NnEK8Y1hxwf9H2R-aNw33V=w408-h510-k-no,29024,moderate,
El Boleo – Bar,Bar,Fábrica de cerveza,"Pub - Pizzeria a la orilla del río en Puerto Madero con una vista privilegiada al Puente de La Mujer para disfrutar los mejores atardeceres, una Cerveza Fría en compañía de amigos y familia.

Happy Hour de Lunes a Viernes de 17hs a 22hs
Aquí ya te estamos esperando!",5491165611036,"Av. Alicia Moreau de Justo 930, C1107AAT Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,C1107,Cdad. Autónoma de Buenos Aires,AR,-34.6084088,-58.3660679,4.8,24522,,,6801472484931810219,ChIJE_yL4Ss1o5URqzP0dTCvY14,True,open,https://lh6.googleusercontent.com/-V5AdMHa_Mys/AAAAAAAAAAI/AAAAAAAAAAA/CmoCvRVOTVs/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipO_ADRVgVHBgcGVaJPPt_f2tkn_UXe7FnmOJ4L0=w408-h612-k-no,3630,moderate,
Parque de la Cervecería Quilmes,Bar,"Beer garden, Beer store, Pub, Restaurant","Contemporary-industrial brewery serving pastas, meats & salads accompanied by all Quilmes varieties.",5491133003105,"Triunvirato 700, B1878 Buenos Aires, Provincia de Buenos Aires",Buenos Aires,B1878,Buenos Aires Province,AR,-34.7367583,-58.2585671,4.4,23994,http://parquequilmes.meitre.com/,parquequilmes.meitre.com,8790721576945792553,ChIJf-l6mmAuo5URKTY38bLq_nk,True,close,https://lh6.googleusercontent.com/-fGTAeE5ryiY/AAAAAAAAAAI/AAAAAAAAAAA/obdFDNBncf8/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nox7j3caNzdTfE_qlQANHglZ-5aWuegWgeXPv0TuVMajnKUzNfLb_alrQaBTUEWSao6cSXF4GZ-wyIC74brA7DMWzPCYvqorqviNo7ZJX9GxivU8ZpjaDRux50N_stXvVZjQAFMo0stVOk=w408-h306-k-no,18220,moderate,
Nápoles,Italian restaurant,"Bar, Restaurant",,5491154171802,"C1152AAA, Av. Caseros 449, C1152AAA Cdad. Autónoma de Buenos Aires",Buenos Aires,C1152,Buenos Aires,AR,-34.6265114,-58.371741899999996,4.4,20210,http://napoles.meitre.com/,napoles.meitre.com,10862907940812338549,ChIJdQu60jLLvJURdbXjzzfNwJY,True,open,https://lh4.googleusercontent.com/-JRmCqfTh7WI/AAAAAAAAAAI/AAAAAAAAAAA/T055i2KmuEQ/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrCIjaXto0JtE5Q5mo6TdMTxQSx4_F9U0l_zzDDyGr0uF6hyboEWr0CJs0guACYKnBrX503TWryh1cNmBrBo2XPkuS-x97IhvEyRhsIEsN2SbOGX8UU51MoXML4wJGFDg90KUsw_Q=w408-h306-k-no,35899,moderate,
Acatraz,Bar & grill,"Bar, Bowling club, Hamburger restaurant, Pizza restaurant, Pool hall, Rehearsal studio, Restaurant","Acatraz es un multiespacio con muchas opciones en juegos Arcade y gastronomía. También contamos con 10 pistas de Bowling y más de 20 Pool.
Acatraz tiene 5 pisos de Entretenimiento y Gastronomía.
Los Esperamos.",5491149824818,"Av. Rivadavia 3636, C1204 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1204,Buenos Aires,AR,-34.6113399,-58.4175542,4.3,18992,https://m.facebook.com/acatrazmultiespacio/,m.facebook.com,16017853558445924615,ChIJG58JY1_KvJURB2Fl9_HYSt4,True,close,https://lh5.googleusercontent.com/-xsDNX7AfSIk/AAAAAAAAAAI/AAAAAAAAAAA/-rJzvsqMolg/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npa5Z297xWidY_2BUFE-H4YvUXgJu40K5UGVeXpSR3tyMgBfgKjyitOZ5pTvu-nQNzToyHRVmQvXEVoAbKsx8ijcxNclt9duNwL8oUxK962Z4abgS1ICo81zX18uyPKCWBgb0AeWg=w426-h240-k-no,11396,moderate,
La Parolaccia Trattoria,Italian restaurant,"Bar, Brunch restaurant, Cafe, Fine dining restaurant, Gluten-free restaurant, Lunch restaurant, Pasta shop, Restaurant, Wine bar","La Parolaccia, un clásico de Buenos Aires con 28 años de historia, ofrece auténtica cocina italiana con pastas artesanales, calidad y calidez en cada plato. ¡Tradición y sabor en cada visita! 🍝🇮🇹",5491153027593,"Av. Alicia Moreau de Justo 1052, C1107AAV Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1107,Buenos Aires,AR,-34.609889599999995,-58.366187,4.4,17303,http://www.laparolaccia.com/,www.laparolaccia.com,17767885217476761909,ChIJZeGJHCo1o5URNdmdjXc1lPY,True,close,https://lh4.googleusercontent.com/-X8WxMvwjX8k/AAAAAAAAAAI/AAAAAAAAAAA/a9D71Up-y38/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNpE0zT8VI5H6VqqhnL_PJscan8D8wKxqfCSnYw=w408-h271-k-no,13158,inexpensive,
JOBS BAR,Bar,"Bar & grill, Game store, Pizza restaurant, Restaurant",Laid-back pool hall offering simple snacks & drinks in an unpretentious ambiance.,,"Carlos Calvo 3860, C1230ABP C1230ABP, Cdad. Autónoma de Buenos Aires",C1230ABP,C1230,Buenos Aires,AR,-34.624738,-58.419810399999996,4.2,16879,https://instagram.com/jobsbar_oficial?igshid=MzRlODBiNWFlZA==,instagram.com,5019069223931069839,ChIJb4jltoTKvJURj8WB891Qp0U,True,close,https://lh6.googleusercontent.com/-f-uZ1bGz9CM/AAAAAAAAAAI/AAAAAAAAAAA/6qpt1avTnJo/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKCA1c4zenn_FRZpM_xictD7gB-CFvJFuBBsy-1vFMO5Pajg4GSECEgxB8CkPP5duCSRhRq2g8riH_1UbWl_-zvaqDRdwJTz7RSiqokdAtuBpXcmxhgBp6Kb4xoRNH0ydxzW10uQ=w408-h725-k-no,5358,moderate,
Kraken bar,Bar,"Bar & grill, Tapas bar","Kraken Bar se encuentra ubicado en Puerto Madero,uno de los principales sitios turísticos de la ciudad de Buenos Aires. Desde el 31 de diciembre del año 2.009 abrió sus puertas al público. La idea surgió de la movida mercantil e histórica que maneja Puerto Madero, siendo antiguamente una zona de carga y descarga donde convergían muchos marineros de diversas culturas, creando el concepto de una cantina pirata del pasado mezclando lo antiguo con lo actual. Hasta la actualidad se han presentado algunos cambios y modificaciones como nuestra barra que es en forma de Barco terminado en la proa con el pirata sentado de casaca roja brindando con un chopp de cerveza en su mano. Los invitamos a visitarnos, a conocer y disfrutar de una noche porteña",5491165611036,"Av. Alicia Moreau de Justo 970, C1107AAT Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1107,Buenos Aires,AR,-34.608928299999995,-58.366065299999995,4.7,15167,https://www.instagram.com/krakenbaroficial/,www.instagram.com,4979145148343050904,ChIJE_yL4Ss1o5URmOIYvCF6GUU,True,open,https://lh5.googleusercontent.com/-LmJ5fttO_4s/AAAAAAAAAAI/AAAAAAAAAAA/0z1_zJqEtns/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipN7XFrSxGSa68q8u_ncAXGZerWl-uYEctx8watJ=w408-h612-k-no,3779,moderate,
