titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
Café Tortoni,Cafetería,,Icónico café estilo francés inaugurado en 1858 y lugar favorito de la élite cultural con tango en vivo.,5491143424328,"Av. de Mayo 825, C1084 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,C1084,Cdad. Autónoma de Buenos Aires,AR,-34.6086531,-58.3782121,4.5,37779,http://www.cafetortoni.com.ar/,www.cafetortoni.com.ar,5911962012960146477,ChIJ01wendHKvJURLcQXvCCCC1I,True,open,https://lh6.googleusercontent.com/-g1f9vyz2ei8/AAAAAAAAAAI/AAAAAAAAAAA/K45WghzpaPI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqOx4lkNVF2SD5cOi2OlNCbvsTMVag7tUxBKn74NpC1PrUG5fjyOcGaDjUhyzjbz7_CGWmcihFJXCHWHTK7Sfzsw6amyq5oZliL0Y6QQCAzsutmtmp1ZD0O9yhHYoxrjzaLrS2uyw=w408-h306-k-no,74466,moderate,
Rapanui,Chocolate shop,"Coffee shop, Ice cream shop",,5498108887272,"Av. Pedro Goyena 1515, C1406 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,,Buenos Aires,AR,-34.6276795,-58.448923699999995,4.6,18307,https://rapanui.com.ar/,rapanui.com.ar,3301821581209699595,ChIJX5MqYDDKvJURCwW5-ztt0i0,True,open,https://lh5.googleusercontent.com/-KpgFEGmXhYo/AAAAAAAAAAI/AAAAAAAAAAA/TlcBcvaeg-A/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noz3wNc-7IuR-d6sXdceHs4qxTEDCZptLkBqgOLmay_Jvj5zWpWFQlFMIU_GJiFUMZyfYWIKejsGIioYHjED6JCGrLh5zgqftfXvUoQVmB_MuHHwxAJeUVNkhEmoBnbHPRBxTOk3w=w532-h240-k-no,4147,,
La Parolaccia Trattoria,Italian restaurant,"Bar, Brunch restaurant, Cafe, Fine dining restaurant, Gluten-free restaurant, Lunch restaurant, Pasta shop, Restaurant, Wine bar","La Parolaccia, un clásico de Buenos Aires con 28 años de historia, ofrece auténtica cocina italiana con pastas artesanales, calidad y calidez en cada plato. ¡Tradición y sabor en cada visita! 🍝🇮🇹",5491153027593,"Av. Alicia Moreau de Justo 1052, C1107AAV Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1107,Buenos Aires,AR,-34.609889599999995,-58.366187,4.4,17303,http://www.laparolaccia.com/,www.laparolaccia.com,17767885217476761909,ChIJZeGJHCo1o5URNdmdjXc1lPY,True,close,https://lh4.googleusercontent.com/-X8WxMvwjX8k/AAAAAAAAAAI/AAAAAAAAAAA/a9D71Up-y38/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNpE0zT8VI5H6VqqhnL_PJscan8D8wKxqfCSnYw=w408-h271-k-no,13158,inexpensive,
Rapa Nui,Ice cream shop,"Chocolate cafe, Coffee shop",,5498108887272,"C1419IFU, Av. Lincoln 4218, C1419IFU Cdad. Autónoma de Buenos Aires",Buenos Aires,C1419,Buenos Aires,AR,-34.599281399999995,-58.514198099999994,4.4,15757,https://rapanui.com.ar/,rapanui.com.ar,12501133290474726155,ChIJ2yex3cu3vJURC2OObH7yfK0,True,open,https://lh4.googleusercontent.com/-b1kzX-Qq2qM/AAAAAAAAAAI/AAAAAAAAAAA/o0y70Ag5xYk/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noKEK-LKINbOlxyTy4dLxcflV4Ajezw8xKqKK-iVS9RCR4DYoPND3dsMqBeX5X5gipSA1kV6YLSdLgxK0htdzm9WrZNAN11mSsYxREgX0uusovvm_CDzN7ugHdwOX3Tzyy_dZU8=w408-h306-k-no,3612,expensive,
Torino Norte,Pizza restaurant,"Coffee shop, Fast food restaurant, Restaurant","Pizza, pasta, sandwiches & more in a relaxed 2-story restaurant on a bustling city street.",5491145811776,"Av. Juan Bautista Justo 3995, C1416 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1416,Buenos Aires,AR,-34.6042643,-58.4584481,4.4,15461,http://www.pizzeriatorino.com.ar/,www.pizzeriatorino.com.ar,9412782717022888702,ChIJ2bcfXwHKvJUR_uIVlALsoII,True,open,https://lh5.googleusercontent.com/-H-j-QkjRiUw/AAAAAAAAAAI/AAAAAAAAAAA/kQyOMFg2guc/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPKumXyKGXMPwrUB8YMbBkbgFfNmALUYmZXkz8=w426-h240-k-no,5183,moderate,
Dandy Santa Fe,Breakfast restaurant,"Coffee shop, Takeout restaurant",,5491138898655,"Av. Sta. Fe 801, C1059ABC Cdad. Autónoma de Buenos Aires",Buenos Aires,C1059,Buenos Aires,AR,-34.594960199999996,-58.378664799999996,4.6,14675,https://somosdandy.com/,somosdandy.com,4758958107331006138,ChIJWUeRa7bKvJURug5uQC83C0I,True,close,https://lh6.googleusercontent.com/-8r9n7zr5s0Q/AAAAAAAAAAI/AAAAAAAAAAA/vdgVIJyZ61s/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5L0XjetnEg8oJAO6vKSBrUknEI9UqnfZrwbX2iVcn8tL9bp84ZN5FJGqOfl4ondc3u-t0igchYjAKpBhs5j70SevSzlisoZ_-H1zkKyeLzUfJgQj_UFtC-b0st35kWu2gJpYEK249VVgR=w408-h306-k-no,2805,moderate,
London City,European restaurant,"Breakfast restaurant, Cafe, Restaurant","Situado en pleno corazón de la city porteña, desde el 28 de Septiembre de 1954, “London City” fue refugio de poetas, artistas, políticos, que transitaban desde el Palacio Municipal hasta el edificio del Consejo Deliberante, periodistas que entraban y salían del vecino edificio del diario La Prensa y de los porteños y turistas que paseaban y trabajaban a lo largo de la hermosa Avenida de Mayo.

“London City” fue declarado café notable por la Comisión de Protección y Promoción de los cafés, bares, billares y confiterías notables de la ciudad de Buenos Aires.",5491143429057,"Av. de Mayo 599, C1084 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1084,Buenos Aires,AR,-34.608412799999996,-58.3749043,4.4,14106,http://www.londoncity.com.ar/,www.londoncity.com.ar,7006877902255982465,ChIJQc4WrNPKvJURgYeA_FNuPWE,True,open,https://lh3.googleusercontent.com/-OMKImkky02A/AAAAAAAAAAI/AAAAAAAAAAA/fa394mlLO4I/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipM11VS6ynylfmTTTx35McTJReingHVp38exEdgt=w408-h505-k-no,12056,moderate,
Café Margot,Cafe,"Bar, Bar & grill",,5491142706999,"Av. Boedo 857, C1230 Cdad. Autónoma de Buenos Aires",Buenos Aires,,Buenos Aires,AR,-34.6232968,-58.4164616,4.2,12812,http://www.losnotables.com.ar/,www.losnotables.com.ar,12989393136169221329,ChIJMRcGRP_KvJUR0XxDkTyYQ7Q,True,close,https://lh3.googleusercontent.com/-CHuQkl6vG7A/AAAAAAAAAAI/AAAAAAAAAAA/39CbE-CxtBI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNGGawhyUXVXFlSnfJmYrZAZ7B7Md8pA6Jk8sUR=w426-h240-k-no,6500,moderate,
La Parolaccia Dolce,Restaurante italiano,"Bar, Restaurante de brunch, Cafetería, Restaurante de alta cocina, Restaurante de comida sin gluten, Tienda de pasta, Restaurante, Vinoteca","La Parolaccia, un clásico de Buenos Aires con 28 años de historia, ofrece auténtica cocina italiana con pastas artesanales, calidad y calidez en cada plato. ¡Tradición y sabor en cada visita! 🍝🇮🇹",5491145111774,"Av. del Libertador 5823, C1428ARB Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,C1428,Cdad. Autónoma de Buenos Aires,AR,-34.558227699999996,-58.446098899999996,4.3,12193,http://www.laparolaccia.com/,www.laparolaccia.com,14958344837448548755,ChIJ981dgcy1vJURk0Hrf2C3ls8,True,close,https://lh5.googleusercontent.com/-iTtg2pO3Fy0/AAAAAAAAAAI/AAAAAAAAAAA/j9wUt27M-UI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipN0o-pPL7r9vG-iDfdsOJj820H9-jXvMWwqXb0J=w408-h469-k-no,6473,inexpensive,
Kona Bar,Bar & grill,"Bar, Coffee shop, Tea house","Low-key rooftop hangout offering burgers, sandwiches & salads, plus cocktails & desserts.",5491144690926,"Av. de Mayo 301, B1704EYF Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,B1704,Buenos Aires Province,AR,-34.643679399999996,-58.5653193,4.2,11308,http://www.konabar.com.ar/,www.konabar.com.ar,2418158412967989096,ChIJYbD8jeXHvJURaE-Uv0MGjyE,True,open,https://lh5.googleusercontent.com/-Mh-RQ4f_-r4/AAAAAAAAAAI/AAAAAAAAAAA/mrwa287gBrw/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPhB89hP7bWD9RYe729EyuoTEOqIPJvFYJso6I_=w408-h271-k-no,4437,moderate,
