titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating,tipo_negocio
El Desembarco,Hamburger restaurant,Bar,,5491128473259,"Gral. Manuel Belgrano 4827, B1678 Caseros, Provincia de Buenos Aires",Caseros,B1678,Buenos Aires Province,AR,-34.6067894,-58.5644985,4.5,1313,https://onion.ar/desembarco,onion.ar,15743393949561015525,ChIJ_4iEQNa5vJUR5UyekmLFe9o,True,open,https://lh6.googleusercontent.com/-81B1K-ZMOdc/AAAAAAAAAAI/AAAAAAAAAAA/S3E9POt2wu4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPUaLiujZdagrTj48-XliXzPror1DoYJlwuoZ9e=w408-h408-k-no,373,moderate,,bares
Academia de Pool Argentina,Bar,,,5491161238928,"EQY Remedios de Escalada Buenos Aires AR, Ministro Brin 4561, B1825",Remedios de Escalada,B1825,Buenos Aires Province,AR,-34.7262741,-58.399083399999995,4.5,243,,,18170413163799075045,ChIJAZ3XhEDNvJUR5VhTYoBGKvw,True,close,https://lh4.googleusercontent.com/-nDjHHyhBQkM/AAAAAAAAAAI/AAAAAAAAAAA/ZCGconrpfgI/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipMY3v4RFl9FdKtGbNIR-uas0BBzZhmsWVGbI9G3=w426-h240-k-no,121,inexpensive,,bares
Rock&Feller’s Unicenter,American restaurant,"Bar, Cocktail bar",El Lado Exquisito del Rock.,5491149374955,"Paraná 3745, B1640 Martínez, Provincia de Buenos Aires",Martínez,B1640,Buenos Aires Province,AR,-34.5086233,-58.52321,4.7,3918,https://www.rockandfellers.com.ar/,www.rockandfellers.com.ar,13834915769800361203,ChIJxSar0XDLvJUR84RmlJd-_78,True,open,https://lh3.googleusercontent.com/-zX2rYLbAqOI/AAAAAAAAAAI/AAAAAAAAAAA/DGb7LaxgT6s/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNVE9ymDUSIyLv9nkYyuy1NB-q_J0KSis2XXR8O=w486-h240-k-no,3304,moderate,,bares
LeBross Burgers,Hamburger restaurant,"Bar, Fast food restaurant, Gastropub, Restaurant",En el corazon de Ramos se encuentra una de las mejores hamburguesas que vas a probar.,5491127005121,"Rosales 323, B1704EYG Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,B1704,Buenos Aires Province,AR,-34.6436492,-58.567127,4.9,248,https://www.instagram.com/lebross.burgers,www.instagram.com,4711290942097852870,ChIJG1M-9B3HvJURxglCfSbeYUE,True,open,https://lh4.googleusercontent.com/-sI4esU0SE-0/AAAAAAAAAAI/AAAAAAAAAAA/L4Cmya_4qF4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noN0qwpOJQK8OIznKHeCH8nozko_tOlk7Ho-Uqk2aGsaCE85BnHhPTEGi1hgcHwVFO1-6BK_3NK1GUYgJNPMgIVi6iQiInMbx8Q09GBPb7_h7Oc6rQHhsQB5DvbQYiszzRpJ9etcg=w533-h240-k-no,224,,,bares
Music Club,Bar,"Club, Concert hall, Cultural center, Delivery service, Meal delivery, Pub, Restaurant, Vegan restaurant, Vegetarian restaurant","El Club de la Música es una usina cultural en el Barrio de Villa Ballester, de Jueves a Domingo ocurren distintos y variados eventos artísticos, para más información buscanos en Facebook o Instagram. Además contamos con un bar con comidas y bebidas dentro del espacio",5491161555099,"Juan B Alberdi 4449, B1653 Villa Ballester, Provincia de Buenos Aires",Villa Ballester,B1653,Buenos Aires Province,AR,-34.5505405,-58.5507494,4.6,1897,https://linktr.ee/club.delamusica,linktr.ee,4599290157181514136,ChIJLd_WMVS3vJURmDHBpQf20z8,True,close,https://lh6.googleusercontent.com/-HzyUoJXu9aY/AAAAAAAAAAI/AAAAAAAAAAA/fcSxotgV_Vc/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOOZ2rV0XEnji0J2D09_5H42hZ4ixuWE8mTlFud=w408-h611-k-no,934,moderate,,bares
Ronton,Bar,,,5491170053689,"CMF, Gral. Carlos María de Alvear 1106, B1828 Banfield, Provincia de Buenos Aires",Banfield,B1828,Buenos Aires Province,AR,-34.746401999999996,-58.405781899999994,4.6,599,,,2783148423322384658,ChIJkfe4tdLTvJURErlRyb66nyY,True,open,https://lh6.googleusercontent.com/-BrWmlE-2vVk/AAAAAAAAAAI/AAAAAAAAAAA/VP5NzDow4e4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNquT6kEV1CdDjnqgZCCLe01zats_3FS_DYvVuu=w408-h403-k-no,125,moderate,,bares
P E U T E O,Gay bar,"Bar, Cocktail bar, Gay night club, Karaoke bar",VIDEO BAR HETEROFRIENDLY,5491120583943,"Gurruchaga 1867, C1414 Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1414,Buenos Aires,AR,-34.587799499999996,-58.426454,4.8,5826,https://www.instagram.com/peuteopalermosoho,www.instagram.com,13786916806768056332,ChIJRd8BToa1vJURDNhFH8r3VL8,True,close,https://lh3.googleusercontent.com/-ICsUxwSfFHU/AAAAAAAAAAI/AAAAAAAAAAA/lqQ8gj3xKa0/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPgwD69_yGLHID8uHC-E6UaRgjKMT8FT7DJk_Lh=w533-h240-k-no,1094,moderate,,bares
La Poesía,Coffee shop,"Argentinian restaurant, Bar, Restaurant",,54943007340,"Chile 502, C1098 AAL, Cdad. Autónoma de Buenos Aires",AAL,C1098,Buenos Aires,AR,-34.616143,-58.373250999999996,4.4,11249,http://www.losnotables.com.ar/cafe-la-poesia/,www.losnotables.com.ar,13724948213557180726,ChIJoyuClSrLvJURNjm1ra7PeL4,True,close,https://lh5.googleusercontent.com/-rXsxd6q82PU/AAAAAAAAAAI/AAAAAAAAAAA/zCxpNDfeS08/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOhjiJkjJwbo9_-EhNWtF8kqMsQynSoOkDPVAjD=w408-h272-k-no,8357,moderate,,bares
Buró,Bar,,,5491142541700,"Alem 214, B1878 Quilmes, Provincia de Buenos Aires",Quilmes,,Provincia de Buenos Aires,AR,-34.722578299999995,-58.256566799999995,4.2,2684,,,13890632476375876553,ChIJ7_adYfgto5URyYPjO6RwxcA,True,close,https://lh6.googleusercontent.com/-67-bdOEWOPA/AAAAAAAAAAI/AAAAAAAAAAA/0VcB1ZXvzeg/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrR7yvYgommd-5ITN1yJOXqTEp2M_OMxVxkGrH5at8vz-co_pFZCuRBlVXk5ULtP_2z2uIBMbA2be1-Idz-JqGhcWL1-O8izhTa1enoPARvAZIN6102RXNMUHk0XAzIe5zmapoB=w426-h240-k-no,1683,moderate,,bares
Kraken bar,Bar,"Bar & grill, Tapas bar","Kraken Bar se encuentra ubicado en Puerto Madero,uno de los principales sitios turísticos de la ciudad de Buenos Aires. Desde el 31 de diciembre del año 2.009 abrió sus puertas al público. La idea surgió de la movida mercantil e histórica que maneja Puerto Madero, siendo antiguamente una zona de carga y descarga donde convergían muchos marineros de diversas culturas, creando el concepto de una cantina pirata del pasado mezclando lo antiguo con lo actual. Hasta la actualidad se han presentado algunos cambios y modificaciones como nuestra barra que es en forma de Barco terminado en la proa con el pirata sentado de casaca roja brindando con un chopp de cerveza en su mano. Los invitamos a visitarnos, a conocer y disfrutar de una noche porteña",5491165611036,"Av. Alicia Moreau de Justo 970, C1107AAT Cdad. Autónoma de Buenos Aires, Argentina",Buenos Aires,C1107,Buenos Aires,AR,-34.608928299999995,-58.366065299999995,4.7,15167,https://www.instagram.com/krakenbaroficial/,www.instagram.com,4979145148343050904,ChIJE_yL4Ss1o5URmOIYvCF6GUU,True,open,https://lh5.googleusercontent.com/-LmJ5fttO_4s/AAAAAAAAAAI/AAAAAAAAAAA/0z1_zJqEtns/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipN7XFrSxGSa68q8u_ncAXGZerWl-uYEctx8watJ=w408-h612-k-no,3779,moderate,,bares
