titulo,categoria,telefono,direccion,ciudad,rating,cantidad_reviews,url,dominio,place_id,emails,tiene_web_propia,es_cadena,fecha_extraccion
Wine Window Argentina (Palermo Soho),Wine bar,+549117227-1002,"Gorriti 4882, C1414 Cdad. Autónoma de Buenos Aires",Buenos Aires,5.0,251,https://www.wine-window.com/,www.wine-window.com,ChIJMTW6XOy1vJURhwA8tpXWV0M,"hello@miramontewinery.com, info@wine-window.com",True,False,2025-10-20T19:58:42.276958
Casa Jaguar Sports Bar,Sports bar,,"Venezuela 649, C1095 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.9,516,https://www.viajerohostels.com/es/destinos-argentina/buenos-aires/,www.viajerohostels.com,ChIJf3s_TWzLvJURQR0CWUV_4Uk,"buenosaires@viajerohostels.com, marketing@viajerohostels.com",True,False,2025-10-20T19:58:59.506658
Pujol - Taller de Murga Uruguaya,Cultural center,+549112236-4469,"Carlos Calvo 3619, C1230ABK Cdad. Autónoma de Buenos Aires",Buenos Aires,4.9,308,http://www.tapcc.com.ar/,www.tapcc.com.ar,ChIJcxGffhDKvJURMW3cu0RYWQY,consultas.tap@gmail.com,True,False,2025-10-20T19:59:05.253489
DANDY - Lomitas Street,Restaurant,+549116100-0402,"Italia 459, B1832 Lomas de Zamora, Provincia de Buenos Aires",Lomas de Zamora,4.8,4607,https://somosdandy.com/,somosdandy.com,ChIJD1tYEa3JvJURQhxC46I10L4,info@somosdandy.com,True,False,2025-10-20T19:59:32.559078
Centro Cultural Armoza,Wine bar,+54115017-7701,"Miller 3036, C1429 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.8,1797,http://ccarmoza.com/,ccarmoza.com,ChIJFQjIh6S1vJURda9ekHWSgLw,armoza.wines@gmail.com,True,False,2025-10-20T19:59:54.302646
Portal Ramos Mejía,Bar,+549115806-6640,"Pueyrredón 236, B1704 Ramos Mejía, Provincia de Buenos Aires",Ramos Mejía,4.8,1098,https://portalbar.com.ar/,portalbar.com.ar,ChIJx8XM2YHHvJUR9gWRzpx9ow0,portalbeerhouse@gmail.com,True,False,2025-10-20T20:00:05.311634
Michelangelo Legend,Restaurant,+54112516-8222,"Balcarce 433, C1064 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.8,461,https://www.michelangelolegend.com/,www.michelangelolegend.com,ChIJJYvLxio1o5URzcXOUHpOLMM,info@familiatangoshow.com,True,False,2025-10-20T20:00:29.173999
PIBÄ DOHO,Bar,,"Av. Donado 1877, C1430 C1430DRI, Cdad. Autónoma de Buenos Aires",C1430DRI,4.8,207,http://piba.com.ar/,piba.com.ar,ChIJ9Qi8JQC3vJURNXaMDXZei1E,info@piba.com.ar,True,False,2025-10-20T20:01:12.999301
Tomate Estación de Sabores,Restaurant,+54113660-7077,"Av. Infanta Isabel 555, C1425 Cdad. Autónoma de Buenos Aires",Buenos Aires,4.7,3939,http://www.tomate.com.ar/,www.tomate.com.ar,ChIJ2_rueKC1vJUR5sni7OXe3J0,tuevento@tomate.com.ar,True,False,2025-10-20T20:01:54.231486
Sale e Pepe - San Telmo,Restaurante,+54116212-1615,"Balcarce 436, C1064 Cdad. Autónoma de Buenos Aires",Cdad. Autónoma de Buenos Aires,4.7,1843,http://www.saleepepe.com.ar/,www.saleepepe.com.ar,ChIJM3amnv41o5URBaXI_HR1ato,saleepepearg@gmail.com,True,False,2025-10-20T20:02:33.529158
