titulo,tipo,categoria,descripcion,telefono,direccion,rating,cantidad_reviews,url,nivel_precio,quality_score,verificado,estado_actual,latitud,longitud
Sarkis,Restaurante,Armenian restaurant,"Celebrated eatery serving Armenian favorites in a large, informal space with sidewalk seating.",5491147724911.0,"Thames 1101, C1414DCW Cdad. Autónoma de Buenos Aires",4.6,28018,https://instagram.com/restaurantesarkis?igshid=1muwpf21lofr5,moderate,47.106935400117926,True,open,-34.591476799999995,-58.436123599999995
Kansas Grill & Bar,Restaurante,American restaurant,"Kansas es un restaurante de Contemporary American Cuisine, inaugurado en junio de 1999 en San Isidro. Nuestra visión es ofrecer alimentos de calidad en un ambiente placentero con un servicio excelente. Creemos que la base de un buen plato está en la calidad de los ingredientes, por lo que usamos los mejores productos frescos. Además, consideramos la música, la arquitectura y la decoración esenciales para la experiencia gastronómica. Cada local tiene su propio carácter, con especial atención a los materiales y diseño. Nos esforzamos por satisfacer la confianza de nuestros clientes, brindando un servicio rápido y eficiente que supere todas las expectativas.",5491147764100.0,"Av. del Libertador 4625, C1426 Cdad. Autónoma de Buenos Aires",4.4,23724,http://www.kansasgrill.com/,moderate,44.32685234330377,True,close,-34.5655463,-58.4323658
Don Julio,Restaurante,Parrilla,"Destino popular que ofrece filetes clásicos, platos locales y una lista larga de vinos en un ambiente íntimo.",5491148319564.0,"Guatemala 4699, C1425 Cdad. Autónoma de Buenos Aires, Argentina",4.4,17896,https://www.parrilladonjulio.com/,inexpensive,43.0865088720766,True,open,-34.5863164,-58.424268899999994
La Cabrera,Restaurante,Barbecue restaurant,"Easygoing Argentinian restaurant specializing in grilled meats, with wood-lined decor & a terrace.",5491148310325.0,"José A. Cabrera 5127, C1414BGQ Cdad. Autónoma de Buenos Aires, Argentina",4.3,22142,http://lacabrera.com.ar/,inexpensive,43.022689803284095,True,open,-34.589089799999996,-58.4332083
Hierro Parrilla Palermo,Restaurante,Restaurant,"H I E R R O Palermo
Restaurante
Costa Rica 5602, Palermo
En Nordelta somos @hierronordelta",5491128756355.0,"Costa Rica 5602, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.7,8597,https://hierrocasadefuegos.com/,moderate,42.57863901616427,True,close,-34.5827039,-58.4348812
Dandy Grill,Restaurante,Restaurant,"En el país de la carne, sabemos que lograr distinguirse en una parrilla es un desafío que afrontamos diariamente.
El primer paso para una experiencia memorable comienza con los mejores cortes, pero sólo se completa con la pasión y los trucos de nuestros Grillers.

Te esperamos en nuestro local Palermo para disfrutar la mejor carne, trabajada de la manera perfecta.",5491147764549.0,"Fitz Roy 2199, C1425 Cdad. Autónoma de Buenos Aires",4.6,10277,https://somosdandy.com/,moderate,42.49370045074,True,close,-34.5804936,-58.4319324
Izakaya by Sushi Pop Palermo,Bar,Sushi restaurant,"Ubicado en el corazón de Palermo, con grandes centros gastrónomicos importantes. El local tiene capacidad para más de 100 personas entre el espacio cerrado y nuestra vereda al aire libre. El interior está pensado como un lugar más intimo, para parejas o grupos pequeños, mientras que nuestro entrepiso ofrece un espacio más social, especial para realizar eventos, cumpleaños y after office. El restaurante cuenta además con Delivery y Take Away.
Te esperamos con todo nuestro staff para disfrutar de la Experiencia Izakaya.",5491152725900.0,"Soler 5598, C1425 Cdad. Autónoma de Buenos Aires",4.5,12042,https://www.sushipop.com.ar/,moderate,42.28307485767216,True,open,-34.5810897,-58.4325372
DANDY - Libertador,Restaurante,Restaurant,"Hacemos platos ricos y abundantes con una materia prima de primer nivel, un servicio cordial y amable pero también efectivo y veloz, en un ambiente cálido y de buen gusto. En Dandy amamos lo que hacemos y como estamos orgullosos nuestra cocina es honesta.",5491151257680.0,"Av. del Libertador 2410, C1425 Cdad. Autónoma de Buenos Aires",4.4,14333,https://somosdandy.com/,moderate,42.109714312837006,True,close,-34.579913999999995,-58.405842099999994
Croque Madame,Restaurante,Restaurante,Cafetería relajada en el Museo Nacional de Arte Decorativo con sándwiches y ensaladas.,5491148068639.0,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",4.5,10672,http://www.croquemadame.com.ar/,expensive,41.73962610111284,True,open,-34.5827193,-58.400559599999994
Croque Madame,Cafetería,Restaurante,Cafetería relajada en el Museo Nacional de Arte Decorativo con sándwiches y ensaladas.,5491148068639.0,"Av. del Libertador 1902, C1425AAS Cdad. Autónoma de Buenos Aires",4.5,10672,http://www.croquemadame.com.ar/,expensive,41.73962610111284,True,open,-34.5827193,-58.400559599999994
P E U T E O,Bar,Gay bar,VIDEO BAR HETEROFRIENDLY,5491120583943.0,"Gurruchaga 1867, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.8,5826,https://www.instagram.com/peuteopalermosoho,moderate,41.61723632228676,True,close,-34.587799499999996,-58.426454
Taburete Comedy Club,Bar,Comedy club,"Ubicado en Plaza Serrano, en el corazón de Palermo, Taburete Comedia abrió sus puertas en Agosto del 2018. Somos uno de los primeros clubes de comedia del país, producido por artistas para fanáticos del stand up y quienes buscan una noche de risas. Nuestra sala climatizada ofrece shows de comediantes de primer nivel, acompañado de tragos premium y comida casera. ¡Reservá tu lugar y no te pierdas de vivir la Experiencia Taburete en el corazón de Palermo Soho!",5491162668228.0,"Thames 1511, C1414 Cdad. Autónoma de Buenos Aires",4.8,5691,https://www.taburetecomedia.com.ar/,,41.50472140420676,True,close,-34.588710899999995,-58.4319521
Rebelión,Restaurante,Restaurant,"Somos un mash up de cocineros, amigues, productores, emprendedores y artistas, colaborando para crear una experiencia rica.",5491128234219.0,"Gurruchaga 1795, C1414 Cdad. Autónoma de Buenos Aires",4.5,7930,https://rebelion.meitre.com/,moderate,40.403404845374936,True,close,-34.5882023,-58.427222699999994
Rebelión,Bar,Restaurant,"Somos un mash up de cocineros, amigues, productores, emprendedores y artistas, colaborando para crear una experiencia rica.",5491128234219.0,"Gurruchaga 1795, C1414 Cdad. Autónoma de Buenos Aires",4.5,7930,https://rebelion.meitre.com/,moderate,40.403404845374936,True,close,-34.5882023,-58.427222699999994
La Mala Pub,Bar,Bar,,5491140333546.0,"Arco 3 y 4, Av. del Libertador 3883, C1425 ABL, Cdad. Autónoma de Buenos Aires, Argentina",4.2,15014,https://www.lamala.com.ar/,moderate,40.39058091775321,True,open,-34.5709011,-58.422129
La Mala Pub,Restaurante,Bar,,5491140333546.0,"Arco 3 y 4, Av. del Libertador 3883, C1425 ABL, Cdad. Autónoma de Buenos Aires, Argentina",4.2,15014,https://www.lamala.com.ar/,moderate,40.39058091775321,True,open,-34.5709011,-58.422129
Bellagamba Restorán Palermo,Restaurante,Restaurante,,,"Armenia 1242, C1414 Cdad. Autónoma de Buenos Aires",4.3,11977,,inexpensive,40.380555725144944,True,close,-34.5924237,-58.4321383
La Mar,Bar,Peruvian restaurant,"Refined option focusing on seasonal seafood, ceviche & small plates in a stylish space with a patio.",5491139559600.0,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",4.4,9476,https://www.lamarcebicheria.com/buenos-aires/,moderate,40.28914159366886,True,open,-34.578204899999996,-58.4375924
La Mar,Restaurante,Peruvian restaurant,"Refined option focusing on seasonal seafood, ceviche & small plates in a stylish space with a patio.",5491139559600.0,"Arévalo 2024, C1414 Cdad. Autónoma de Buenos Aires",4.4,9476,https://www.lamarcebicheria.com/buenos-aires/,moderate,40.28914159366886,True,open,-34.578204899999996,-58.4375924
Tomate Estación de Sabores,Restaurante,Restaurante,Comida y coctelería de estación,5491172269510.0,"El Salvador 4676, C1414 Cdad. Autónoma de Buenos Aires, Argentina",4.5,7727,http://tomate.com.ar/,,40.28672419151559,True,close,-34.5896507,-58.426967399999995
Dandy Coronel Diaz,Restaurante,Restaurant,,5491122703213.0,"Av. Sta. Fe 3202, C1425 Cdad. Autónoma de Buenos Aires",4.6,6314,https://somosdandy.com/,,40.25314196000912,True,close,-34.589145699999996,-58.410348
Tigre Morado,Restaurante,Peruvian restaurant,"Airy, rustic-chic option with outdoor seating showcasing ceviche, sushi & other traditional dishes.",5491147752927.0,"Honduras 5900, C1414 Cdad. Autónoma de Buenos Aires",4.4,8734,http://www.tigremorado.com/,moderate,39.93041017929989,True,close,-34.5819683,-58.4392922
El Burladero,Restaurante,Spanish restaurant,Cozy restaurant featuring traditional Spanish cuisine amid dark wood furnishings.,5491136912717.0,"Pres. José Evaristo Uriburu 1488, C1425AAN Cdad. Autónoma de Buenos Aires",4.6,5881,http://elburladero.com.ar/,moderate,39.92639974792412,True,close,-34.5913539,-58.397003
Los Chanchitos Parrilla,Restaurante,Argentinian restaurant,"Restaurante Parrilla estilo bodegon
carnes asadas, milanesa, pastas caseras",5491148544030.0,"Av. Angel Gallardo 601, C1414DJG Cdad. Autónoma de Buenos Aires",4.4,8719,,moderate,39.92284787437331,True,close,-34.605519799999996,-58.439608
Rita Specialty Coffee V. Obligado,Cafetería,Coffee shop,Cafetería de Especialidad,,"Vuelta de Obligado 1183, C1426DUD C1426DUD, Cdad. Autónoma de Buenos Aires",4.9,3441,,,39.904659086180274,True,close,-34.567736499999995,-58.447353799999995
El Preferido de Palermo,Restaurante,Restaurant,"El Preferido de Palermo, bodegón desde 1952 convertido en restaurante en 2019, destaca por su propuesta culinaria argentina. Ofrece embutidos caseros, vegetales de estación y clásicos como milanesa, tortilla, canelones, faina, helados artesanales, entre otros platos.",5491147746585.0,"Jorge Luis Borges 2108, C1425 FFD, Cdad. Autónoma de Buenos Aires, Argentina",4.4,8529,http://elpreferido.meitre.com/,moderate,39.8259164181372,True,close,-34.5854749,-58.425411
Minga Parrilla,Restaurante,Restaurant,"Grilled local meats, empanadas & other regional fare with wine & spirits in eclectic surroundings.",5491180310574.0,"Costa Rica 4528, C1414 Cdad. Autónoma de Buenos Aires",4.5,6773,https://linktr.ee/mingaparrilla,moderate,39.69381165019973,True,open,-34.5892583,-58.4255285
Rabieta,Restaurante,Cervecería artesanal,"Gran cervecería ubicada en un edificio lujoso, en la que se ofrecen bocadillos y cervezas artesanales.",,"Av. del Libertador 3949, C1426 Cdad. Autónoma de Buenos Aires",4.2,12351,http://www.rabieta.com.ar/,moderate,39.57060774351115,True,close,-34.569759499999996,-58.4244154
Kefi - Restaurante Griego,Restaurante,Restaurant,"Grecia ofrece al mundo su exquisita gastronomía para disfrutar en buena compañía.
En Kefi te proponemos transportarte a Grecia por un ratito, experimentar sus exclusivos, únicos y auténticos aromas, sus sabores y texturas para descubrir o rememorar así el maravilloso e idílico universo de la comida griega.
Kefi, Restaurante en Palermo. Restaurante Griego.",5491148046111.0,"Humboldt 1920, C1414 Cdad. Autónoma de Buenos Aires",4.7,4393,https://www.instagram.com/kefi.estiatorio/,moderate,39.423577688839416,True,close,-34.5830497,-58.4336078
