titulo,categoria,categorias_adicionales,descripcion,telefono,direccion,ciudad,codigo_postal,region,pais,latitud,longitud,rating,cantidad_reviews,url,dominio,cid,place_id,verificado,estado_actual,logo,imagen_principal,total_fotos,nivel_precio,hotel_rating
Patio de los lecheros,Restaurant,"Bar, Family restaurant, Grocery store, Market","*SIN RESERVA
*Aceptamos débito, crédito y mercadopago.
*Pet Friendly

El patio de los lecheros solía ser una estación de tren, muy cercana a la actual ""Caballito"", a donde llegaba la leche proveniente del interior del país.

Cuando en 1961 se prohíbe la venta de leche sin proceso de pasteurización, estos trenes dejan de funcionar y el lugar cae en desuso durante muchos años.

En 2016 vuelve a abrir sus puertas, con una propuesta gastronómica llenas de opciones diferentes, espectáculos, arte y mas.",,"Donato Álvarez 185, Bacacay 1686, C1406 Buenos Aires",Buenos Aires,C1406,Buenos Aires,AR,-34.6233437,-58.454285,4.4,34470,https://www.instagram.com/elpatiodeloslecheros/,www.instagram.com,2881504577292147139,ChIJYWXAhyPKvJURwxkpbCUp_Sc,True,close,https://lh4.googleusercontent.com/-pDP0ausjiX0/AAAAAAAAAAI/AAAAAAAAAAA/PV2ZwTCoVbM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOplGYp5rCfl2bAcZrYC4_Qlrd-Up3N-zTYJOQu=w427-h240-k-no,41701,moderate,
Puny - Pasta & Grill,Restaurante,,"Puny Pasta & Grill, un restaurante que brinda homenaje a la escena teatral porteña. Representa el brillo y la popularidad que representó y representa actualmente la cultura teatral argentina.",5491122464521,"Av. Corrientes 1269, C1043 Cdad. Autónoma de Buenos Aires, Argentina",Cdad. Autónoma de Buenos Aires,C1043,Cdad. Autónoma de Buenos Aires,AR,-34.6037323,-58.384722999999994,4.9,33252,,,14928933522674098836,ChIJo-2LVIzLvJURlCJpJvE5Ls8,True,open,https://lh4.googleusercontent.com/-2v0AGgVLfwI/AAAAAAAAAAI/AAAAAAAAAAA/YuIuMwqb8Zk/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipMUEHUY-Jr6K3YJy2_l_VPnksaRxSPMIP4LX-rh=w408-h272-k-no,7520,inexpensive,
La Conga,Peruvian restaurant,Restaurant,"Traditional Peruvian comfort food, seafood & organic salads served in an easygoing restaurant.",5491161509045,"La Rioja 39, C1214ADA Cdad. Autónoma de Buenos Aires",Buenos Aires,C1214,Buenos Aires,AR,-34.6108812,-58.4090904,4.5,29079,https://www.instagram.com/lacongaresto,www.instagram.com,9245157041483551038,ChIJt41gePHKvJURPhFUplhlTYA,True,close,https://lh4.googleusercontent.com/-38IYuL2j1q0/AAAAAAAAAAI/AAAAAAAAAAA/e2qhf6OsynY/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_T7JiX4GXJLoiwwR_gvKmjiDOk12hn_x7M4yZtugSPVr7VjPaZWH7wfvmiAkceWTDEdewyGBEOq4Ip3vzgC9FXyudGprFUrr5m2n9Vr3nCl73A77BP35bOjay8TloewQRWoWo=w408-h306-k-no,16302,inexpensive,
Sarkis,Armenian restaurant,"Middle Eastern restaurant, Restaurant","Celebrated eatery serving Armenian favorites in a large, informal space with sidewalk seating.",5491147724911,"Thames 1101, C1414DCW Cdad. Autónoma de Buenos Aires",Buenos Aires,C1414,Buenos Aires,AR,-34.591476799999995,-58.436123599999995,4.6,28018,https://instagram.com/restaurantesarkis?igshid=1muwpf21lofr5,instagram.com,5905253966896088186,ChIJhZ31RYq1vJUResRODTKt81E,True,open,https://lh6.googleusercontent.com/-b-HtexeFzMU/AAAAAAAAAAI/AAAAAAAAAAA/7qV27OwijHM/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipO7v3KF6HCvkluC5zSZr7qiMO7RbkpZRCnLoYSS=w427-h240-k-no,14060,moderate,
El Cedrón,Pizza restaurant,"Espresso bar, Restaurant","Slices & pies served in an unassuming, long-standing pizza parlor with covered outdoor seating.",5491146861224,"Av. Juan Bautista Alberdi 6101, C1440 AAM, Cdad. Autónoma de Buenos Aires",AAM,C1440,Buenos Aires,AR,-34.6535102,-58.505019,4.4,27450,,,12192579279024204570,ChIJx1cdlADJvJURGqsGVkG-NKk,True,open,https://lh5.googleusercontent.com/-3smXepn8pJ8/AAAAAAAAAAI/AAAAAAAAAAA/2B_QBKilrtk/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqO-3wjgF8PtRhXXaRCuG8fjZwpAIYEmJmPLHzV0dgzrhSbq1fbOcNNJl80R55qCqzI3EatGAt1eXBhNimnr3ERcdWJ54Q6ZfDZtrRfNwEM5bUWkpPlZK_rTmAXLdkBThvVYrGzw=w430-h240-k-no,7727,moderate,
MALLOY´S,Restaurant,Bar,,,"Sebastián Elcano 1723, B1640 Martínez, Provincia de Buenos Aires",Martínez,,Buenos Aires Province,AR,-34.478660399999995,-58.483289,4.2,26730,https://instagram.com/malloysbardecosta,instagram.com,3144358837004283193,ChIJRafGHJmxvJUROS0A5rMBoys,True,close,https://lh3.googleusercontent.com/-9jgndpASKws/AAAAAAAAAAI/AAAAAAAAAAA/LgJvsKLR320/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOaWqo1VosEJfkYI8NnEK8Y1hxwf9H2R-aNw33V=w408-h510-k-no,29024,moderate,
La Mezzetta,Pizza restaurant,"Fast food restaurant, Pizza takeaway, Restaurant","Casual pizzeria dating from the 1930s, with limited seating, offering pizzas, empanadas.",5491145547585,"Av. Álvarez Thomas 1321, C1427 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1427,Buenos Aires,AR,-34.5781077,-58.460841599999995,4.6,26046,https://www.instagram.com/pizzerialamezzetta,www.instagram.com,401118517299344147,ChIJkwhyr9-1vJURE3N1kCoPkQU,True,close,https://lh3.googleusercontent.com/-ZXhNyPX9KSk/AAAAAAAAAAI/AAAAAAAAAAA/gQk-XYJsNZ4/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipPV4jIyX_KfDd-cPM7BDv1GSRqZ6O3TakmCMO_E=w426-h240-k-no,8388,moderate,
McDonald's,Fast food restaurant,"Hamburger restaurant, Meal delivery, Takeout restaurant, Restaurant","Classic, long-running fast-food chain known for its burgers & fries.",,"Av. Juan Bautista Alberdi 7450, C1440 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1440,Buenos Aires,AR,-34.6617908,-58.5166002,3.9,25011,https://www.mcdonalds.com.ar/,www.mcdonalds.com.ar,17847445638980385412,ChIJq5WoOzrJvJURhDqFsz_drvc,True,open,https://lh3.googleusercontent.com/-yzfZtEPjzVI/AAAAAAAAAAI/AAAAAAAAAAA/V5p9h962Q44/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipNnd7M0yJn9uoE8hDoxqNnpCQyBXhZlKSwaXfJo=w417-h240-k-no,5198,moderate,
Parque de la Cervecería Quilmes,Bar,"Beer garden, Beer store, Pub, Restaurant","Contemporary-industrial brewery serving pastas, meats & salads accompanied by all Quilmes varieties.",5491133003105,"Triunvirato 700, B1878 Buenos Aires, Provincia de Buenos Aires",Buenos Aires,B1878,Buenos Aires Province,AR,-34.7367583,-58.2585671,4.4,23994,http://parquequilmes.meitre.com/,parquequilmes.meitre.com,8790721576945792553,ChIJf-l6mmAuo5URKTY38bLq_nk,True,close,https://lh6.googleusercontent.com/-fGTAeE5ryiY/AAAAAAAAAAI/AAAAAAAAAAA/obdFDNBncf8/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nox7j3caNzdTfE_qlQANHglZ-5aWuegWgeXPv0TuVMajnKUzNfLb_alrQaBTUEWSao6cSXF4GZ-wyIC74brA7DMWzPCYvqorqviNo7ZJX9GxivU8ZpjaDRux50N_stXvVZjQAFMo0stVOk=w408-h306-k-no,18220,moderate,
Kansas Grill & Bar,American restaurant,"Hamburger restaurant, Restaurant, Steak house","Kansas es un restaurante de Contemporary American Cuisine, inaugurado en junio de 1999 en San Isidro. Nuestra visión es ofrecer alimentos de calidad en un ambiente placentero con un servicio excelente. Creemos que la base de un buen plato está en la calidad de los ingredientes, por lo que usamos los mejores productos frescos. Además, consideramos la música, la arquitectura y la decoración esenciales para la experiencia gastronómica. Cada local tiene su propio carácter, con especial atención a los materiales y diseño. Nos esforzamos por satisfacer la confianza de nuestros clientes, brindando un servicio rápido y eficiente que supere todas las expectativas.",5491147764100,"Av. del Libertador 4625, C1426 Cdad. Autónoma de Buenos Aires",Buenos Aires,C1426,Buenos Aires,AR,-34.5655463,-58.4323658,4.4,23724,http://www.kansasgrill.com/,www.kansasgrill.com,17345585774377724407,ChIJsWhsu7u1vJUR92naZlzmt_A,True,close,https://lh6.googleusercontent.com/-05ZyxEO53J8/AAAAAAAAAAI/AAAAAAAAAAA/2XexCWQ7Ijo/s44-p-k-no-ns-nd/photo.jpg,https://lh3.googleusercontent.com/p/AF1QipOq3KY3_VtziDR9YPcQ0O9eHzkHhDJ6udowfoam=w408-h272-k-no,12136,moderate,
